id,cutoff_hz,leg_force_limit_n,rate_limit_nps,weighted_error_ratio,hard_passed,maximum_controller_p95_s,selected
dob_f2_l60_r1000,2,60,1000,0.252703195031928,1,0.00075534,0
dob_f5_l60_r1000,5,60,1000,0.198883237510172,1,0.00074831,0
dob_f8_l60_r1000,8,60,1000,0.189114594507073,1,0.000764455,0
dob_f2_l120_r1000,2,120,1000,0.210035067133969,1,0.000556575,0
dob_f5_l120_r1000,5,120,1000,0.0998352619335621,1,0.00080931,0
dob_f8_l120_r1000,8,120,1000,0.0654737027115354,1,0.00081036,0
dob_f2_l180_r1000,2,180,1000,0.210006712098583,1,0.000843465,0
dob_f5_l180_r1000,5,180,1000,0.0954373339419117,1,0.00081915,0
dob_f8_l180_r1000,8,180,1000,0.0571184394597952,1,0.0008203,0
dob_f2_l60_r2000,2,60,2000,0.252703195031928,1,0.00081601,0
dob_f5_l60_r2000,5,60,2000,0.198825014556283,1,0.000821275,0
dob_f8_l60_r2000,8,60,2000,0.188951677907584,1,0.00082782,0
dob_f2_l120_r2000,2,120,2000,0.210035067133969,1,0.000810055,0
dob_f5_l120_r2000,5,120,2000,0.0997192245652769,1,0.00082511,0
dob_f8_l120_r2000,8,120,2000,0.0650016343142224,1,0.000822795,0
dob_f2_l180_r2000,2,180,2000,0.210006712098583,1,0.000784195,0
dob_f5_l180_r2000,5,180,2000,0.0953159420418734,1,0.000809965,0
dob_f8_l180_r2000,8,180,2000,0.0565766940974632,1,0.000753255,1
dob_f2_l60_r4000,2,60,4000,0.252703195031928,1,0.0008095,0
dob_f5_l60_r4000,5,60,4000,0.198825014556283,1,0.000813755,0
dob_f8_l60_r4000,8,60,4000,0.188951677907584,1,0.000818565,0
dob_f2_l120_r4000,2,120,4000,0.210035067133969,1,0.00085191,0
dob_f5_l120_r4000,5,120,4000,0.0997192245652769,1,0.00081661,0
dob_f8_l120_r4000,8,120,4000,0.0650016343142224,1,0.00082291,0
dob_f2_l180_r4000,2,180,4000,0.210006712098583,1,0.0008229,0
dob_f5_l180_r4000,5,180,4000,0.0953159420418734,1,0.000822675,0
dob_f8_l180_r4000,8,180,4000,0.0565766940974632,1,0.0008207,0
