comparisonGroup,caseName,method,solverBackend,hessianMode,N1,N2,gridApproach,gridInsertion,h,numVariables,numZ,numEq,numIneq,solverStatus,ipoptStatus,solverSuccess,successFlag,engineeringPassed,buildTime_s,solveTime_s,totalTime_s,objective,iterations,iterCount,iter_count,n_eval_f,n_eval_g,n_eval_grad_f,n_eval_jac_g,n_eval_hess_l,time_nlp_f,time_nlp_g,time_grad_f,time_jac_g,time_hess_l,hessianTimePct,jac_g_total_s,jac_g_avg_s,jac_g_pct_solve,casadi_eval_pct_solve,time_other_upper_bound,maxEqResidual,maxIneqViolation,minStage1Clearance_m,finalGap_m,maxDenseDynResidual,maxHSDefectResidual,maxMidConsistencyResidual,maxStage2LateralError,maxStage2HeightError,maxStage2AttitudeError,stage2Passed,denseSampleCount,dynamicsEvalCountEstimate,ipoptLinearSolver,ipoptHessianApproximation,ipoptTol,ipoptConstrViolTol,ipoptMaxIter,failureReason
IHSID-HESSIAN-GRID,IHSID-IPOPT-exact-10x5,IHSID,ipopt,exact,10,5,10,5,0.5,1384,1384,690,1957,Solve_Succeeded,Solve_Succeeded,1,1,1,12.4110306,13.2522056,25.6632362,0.198134498994969,62,62,62,65,65,59,65,61,0.103,0.213,0.228,1.974,10.198,76.9532280724652,1.974,0.0303692307692308,14.8956336747447,95.9538388085377,0.536205599999999,5.31122035241083e-10,-0,0.0350742712633131,0.00499999999999992,3.98872606996259,1.3392065234541e-15,2.69792868601293e-14,5.22359933086136e-14,2.96263014121223e-13,2.90878432451791e-14,1,301,31,ma27,exact,1e-06,1e-06,300,""
IHSID-HESSIAN-GRID,IHSID-IPOPT-limited-memory-10x5,IHSID,ipopt,limited-memory,10,5,10,5,0.5,1384,1384,690,1957,Solved_To_Acceptable_Level,Solved_To_Acceptable_Level,1,1,1,7.7910718,10.3865333,18.1776051,0.198395512620572,223,223,223,397,397,225,225,NaN,0.482,1.056,0.856000000000001,6.452,NaN,NaN,6.452,0.0286755555555555,62.1188977461806,85.1679741882693,1.5405333,1.98108637050609e-07,-0,0.0351691138207889,0.00499999999999992,3.87435230138506,2.36637098804948e-13,5.23630097615246e-12,4.00650346232823e-11,3.40978356661026e-11,2.83850720705914e-11,1,301,31,ma27,limited-memory,1e-06,1e-06,300,""
IHSID-HESSIAN-GRID,IHSID-IPOPT-exact-20x10,IHSID,ipopt,exact,20,10,20,10,0.25,2744,2744,1360,3847,Solve_Succeeded,Solve_Succeeded,1,1,0,23.5347125,28.8904044,52.4251169,9.83098307909949,65,65,65,73,73,62,68,64,0.211,0.442,0.529,4.61,22.19,76.807509139609,4.61,0.0677941176470588,15.9568552110679,96.8556881813673,0.908404399999991,4.29083911512862e-07,3.12801449187106e-08,0.0122811496126811,0.00499999999999992,64.639374931229,1.45263349959901e-11,7.7061456413112e-10,1.20941312242717e-08,1.1784588305197e-09,4.39124847595451e-10,1,601,61,ma27,exact,1e-06,1e-06,300,"求解完成但未通过统一工程后验验证：stage2Passed=1, maxDenseDynResidual=64.6394, minStage1Clearance_m=0.0122811, finalGap_m=0.005"
IHSID-HESSIAN-GRID,IHSID-IPOPT-limited-memory-20x10,IHSID,ipopt,limited-memory,20,10,20,10,0.25,2744,2744,1360,3847,Solved_To_Acceptable_Level,Solved_To_Acceptable_Level,1,1,1,15.4714552,19.2411564,34.7126116,0.198277235933711,208,208,208,341,341,210,210,NaN,0.995000000000001,1.79399999999999,1.566,12.562,NaN,NaN,12.562,0.0598190476190476,65.2871362762791,87.9209110321455,2.32415640000002,8.66975824465044e-08,-0,0.0350572481503841,0.00499999999999992,2.60814570039656,3.6269459657845e-12,2.00078383873724e-10,5.62683094562644e-10,3.00006863795943e-09,1.74115721840451e-09,1,601,61,ma27,limited-memory,1e-06,1e-06,300,""
IHSID-HESSIAN-GRID,IHSID-IPOPT-exact-40x20,IHSID,ipopt,exact,40,20,40,20,0.125,5464,5464,2700,7627,Solve_Succeeded,Solve_Succeeded,1,1,0,48.2174956,113.441048,161.6585436,12.8516552965718,137,137,137,174,174,139,139,137,1.111,1.943,2.428,18.062,86.394,76.1576180079013,18.062,0.129942446043166,15.9219262501877,96.9120101922895,3.50304800000001,8.26125642561237e-07,1.05439799114038e-08,0.0145746246917502,0.00499999999999992,33.6131485107069,4.74567538044646e-11,2.57645495145868e-09,2.69989408330229e-08,3.6747853648933e-08,9.11746622644927e-09,1,1201,121,ma27,exact,1e-06,1e-06,300,"求解完成但未通过统一工程后验验证：stage2Passed=1, maxDenseDynResidual=33.6131, minStage1Clearance_m=0.0145746, finalGap_m=0.005"
IHSID-HESSIAN-GRID,IHSID-IPOPT-limited-memory-40x20,IHSID,ipopt,limited-memory,40,20,40,20,0.125,5464,5464,2700,7627,Solved_To_Acceptable_Level,Solved_To_Acceptable_Level,1,1,1,32.3044331,44.6045714,76.9090045,0.199277798570824,194,194,194,333,333,196,196,NaN,2.42799999999999,4.10299999999999,3.69299999999999,29.442,NaN,NaN,29.442,0.150214285714286,66.0066873773391,88.92810479959,4.93857140000004,5.11435524153114e-07,-0,0.0350263210930773,0.00499999999999992,3.28582790709015,1.51391399416667e-12,1.33853728068959e-10,2.06549022330194e-09,2.84128603977862e-09,8.39327829460501e-10,1,1201,121,ma27,limited-memory,1e-06,1e-06,300,""
IHSID-HESSIAN-GRID,IHSID-IPOPT-exact-60x30,IHSID,ipopt,exact,60,30,60,30,0.0833333333333333,8184,8184,4040,11407,Solve_Succeeded,Solve_Succeeded,1,1,1,75.6995678,236.3620335,312.0616013,0.197638565774107,179,179,179,198,198,181,181,179,2.024,3.381,4.95099999999999,38.668,179.564,75.9698997935724,38.668,0.213635359116022,16.359649401984,96.7109635228282,7.77403350000009,4.16341663367348e-07,-0,0.0350001684670627,0.00499999999999992,3.08416420349818,4.42111234774667e-11,1.94252617001077e-09,1.20204528275547e-08,5.68544811785365e-08,2.76359729406428e-08,1,1801,181,ma27,exact,1e-06,1e-06,300,""
IHSID-HESSIAN-GRID,IHSID-IPOPT-limited-memory-60x30,IHSID,ipopt,limited-memory,60,30,60,30,0.0833333333333333,8184,8184,4040,11407,Maximum_Iterations_Exceeded,Maximum_Iterations_Exceeded,0,0,1,50.6541203,100.7656533,151.4197736,0.20097339902297,300,300,300,578,578,302,302,NaN,5.36399999999998,9.32799999999998,7.86399999999999,63.193,NaN,NaN,63.193,0.209248344370861,62.7128370932717,85.0974485767562,15.0166533000001,6.6904917730426e-06,-0,0.0350059222757048,0.00499999999999992,2.46262859027001,1.7557153647596e-12,1.11364078095208e-10,8.02918134756858e-10,1.18678195049071e-09,3.98830735104383e-09,1,1801,181,ma27,limited-memory,1e-06,1e-06,300,"求解器未收敛：status=Maximum_Iterations_Exceeded"
IHSID-HESSIAN-GRID,IHSID-IPOPT-exact-80x40,IHSID,ipopt,exact,80,40,80,40,0.0625,10904,10904,5380,15187,Solve_Succeeded,Solve_Succeeded,1,1,1,108.972743,262.6787645,371.6515075,0.197610730245473,143,143,143,158,158,145,145,143,2.256,3.811,5.63,44.536,198.363,75.5154305592906,44.536,0.307144827586207,16.9545490610072,96.9229471155062,8.08276450000002,5.57158500669175e-07,-0,0.0350016523290198,0.00499999999999992,2.92362123172802,8.5882374562668e-11,1.94247892787046e-09,1.88019357860725e-08,2.65222386275354e-08,1.38524056669809e-08,1,2401,241,ma27,exact,1e-06,1e-06,300,""
IHSID-HESSIAN-GRID,IHSID-IPOPT-limited-memory-80x40,IHSID,ipopt,limited-memory,80,40,80,40,0.0625,10904,10904,5380,15187,Solved_To_Acceptable_Level,Solved_To_Acceptable_Level,1,1,1,69.048052,136.0433362,205.0913882,0.199752400765427,280,280,280,452,452,282,282,NaN,6.11999999999998,10.116,10.86,86.806,NaN,NaN,86.806,0.307822695035461,63.8076089757052,83.7247918064508,22.1413362000001,5.75466401642188e-07,-0,0.035011019817234,0.00499999999999992,2.94778880697413,3.54759797926985e-12,2.06730565283607e-10,1.04619135576911e-09,9.68154428848678e-09,4.95019319979306e-09,1,2401,241,ma27,limited-memory,1e-06,1e-06,300,""
