 it   obj            cv        du        lg(mu) reg  alpha_du  alpha_pr  ls
  0   2.1693840e+05  5.33e+00  8.58e+05   2.0   -.-  0.00e+00  0.00e+00  0x 
  1   2.1730143e+05  4.61e+00  2.62e+07   2.0   2.0  1.00e+00  6.57e-01  1h 
  2   2.1731125e+05  4.61e+00  2.62e+07   2.0   2.4  6.98e-02  1.36e-03  1h 
  3   2.1744040e+05  4.37e+00  2.57e+07   2.0   1.9  7.59e-02  5.75e-02  1h 
  4   2.1749185e+05  4.36e+00  2.56e+07   2.0   2.4  1.04e-01  3.81e-03  1h 
  5   2.1797815e+05  4.45e+00  3.39e+07   2.0   2.8  3.22e-01  4.01e-02  1h 
  6   2.1802169e+05  4.42e+00  3.46e+07   2.0   3.2  5.16e-01  9.93e-03  1h 
  7   2.1711574e+05  4.03e+00  6.65e+07   2.0   2.7  4.46e-02  8.86e-02  1h 
  8   2.1704177e+05  4.00e+00  6.61e+07   2.0   3.2  4.85e-01  7.33e-03  1h 
  9   2.1565663e+05  4.11e+00  3.42e+07   2.0   2.7  2.82e-01  1.02e-01  1h 
 10   2.1457020e+05  4.07e+00  7.28e+07   2.0   2.2  2.46e-01  1.63e-01  1h 
 11   2.1423825e+05  3.69e+00  6.79e+07   2.0   2.6  6.74e-02  9.76e-02  1h 
 12   2.1353989e+05  2.24e+00  2.84e+08   2.0   2.2  2.03e-02  4.84e-01  1h 
 13   2.1350355e+05  2.23e+00  2.83e+08   2.0   2.6  4.55e-02  4.69e-03  1h 
 14   2.1310951e+05  2.11e+00  2.29e+08   2.0   3.0  1.79e-02  5.66e-02  1h 
 15   2.1264233e+05  1.97e+00  2.01e+08   2.0   2.5  1.63e-02  6.80e-02  1h 
 16   2.1263665e+05  1.96e+00  2.01e+08   2.0   3.0  2.98e-03  1.86e-03  1h 
 17   2.1277898e+05  1.90e+00  2.72e+08   2.0   2.5  3.26e-04  1.14e-01  1h 
 18   2.1275699e+05  1.86e+00  2.66e+08   2.0   2.9  2.57e-01  1.89e-02  1h 
 19   2.1270906e+05  1.81e+00  2.51e+08   2.0   3.3  3.50e-02  2.66e-02  1h 
      solver  :   t_proc      (avg)   t_wall      (avg)    n_eval
       nlp_f  |  80.00ms (  1.33ms)  74.25ms (  1.24ms)        60
       nlp_g  |  38.00ms (  1.81ms)  43.03ms (  2.05ms)        21
  nlp_grad_f  |  98.00ms (  4.67ms) 101.80ms (  4.85ms)        21
  nlp_hess_l  |  19.41 s (970.75ms)  19.42 s (970.91ms)        20
   nlp_jac_g  |   6.09 s (290.19ms)   6.09 s (289.86ms)        21
       total  |  25.76 s ( 25.76 s)  25.76 s ( 25.76 s)         1
