 it   obj            cv        du        lg(mu) reg  alpha_du  alpha_pr  ls
  0   3.2408225e+00  5.33e+00  1.73e-01   2.0   -.-  0.00e+00  0.00e+00  0x 
  1   3.9859656e+00  5.94e+00  2.00e+03   2.0   -.-  2.11e-01  3.70e-03  1h 
  2   3.4904896e+02  3.21e+02  6.70e+05   2.0   -.-  6.96e-01  3.68e-01  1H 
  3   3.5871385e+02  3.17e+02  6.69e+05   2.0   0.0  1.09e-02  2.17e-02  1h 
  4   3.5833392e+02  3.16e+02  6.68e+05   2.0   0.4  3.63e-02  2.76e-03  1h 
  5   3.5689399e+02  3.16e+02  6.71e+05   2.0  -0.1  3.21e-02  3.96e-03  4h 
  6   3.5945489e+02  3.10e+02  6.70e+05   2.0   0.4  3.80e-02  1.91e-02  1h 
  7   3.8118579e+02  3.03e+02  6.70e+05   2.0   0.8  1.74e-01  1.48e-02  1h 
  8   4.3398285e+02  2.95e+02  2.44e+06   2.0   1.2  5.98e-02  1.47e-02  1h 
  9   4.4470963e+02  2.94e+02  2.34e+06   2.0   0.7  3.39e-02  7.84e-03  1H 
 10   4.5718433e+02  2.91e+02  3.57e+06   2.0   1.2  1.95e-02  7.90e-03  1h 
 11   4.9438097e+02  2.86e+02  1.42e+07   2.0   1.6  8.47e-04  1.22e-02  1h 
 12   5.0153055e+02  2.85e+02  1.52e+07   2.0   2.0  1.02e-02  2.86e-03  1h 
 13   5.1183284e+02  2.84e+02  1.89e+07   2.0   2.5  5.92e-03  4.03e-03  1h 
 14   5.1152833e+02  2.83e+02  2.08e+07   2.0   2.0  5.29e-04  5.30e-04  1h 
 15   5.1167574e+02  2.83e+02  2.08e+07   2.0   2.4  1.99e-02  1.70e-04  1h 
 16   5.1031601e+02  2.81e+02  3.55e+07   2.0   1.9  1.05e-03  1.55e-03  1h 
 17   5.1061363e+02  2.81e+02  3.55e+07   2.0   2.4  1.11e-02  4.71e-04  1h 
 18   5.1650592e+02  2.79e+02  7.73e+07   2.0   1.9  7.97e-05  1.25e-02  2h 
 19   5.2550495e+02  2.74e+02  2.77e+08   2.0   2.3  6.38e-02  1.51e-02  1h 
 20   5.2553634e+02  2.74e+02  2.77e+08   2.0   2.7  1.53e-02  1.93e-04  1h 
 21   5.2578229e+02  2.73e+02  2.77e+08   2.0   3.2  2.11e-02  1.32e-03  1h 
 22   5.2672612e+02  2.67e+02  3.40e+08   2.0   2.7  1.44e-02  4.98e-03  1h 
 23   5.2673437e+02  2.67e+02  3.40e+08   2.0   3.1  3.92e-02  8.00e-05  1h 
 24   5.2722456e+02  2.65e+02  4.26e+08   2.0   2.6  6.41e-03  3.77e-03  4h 
 25   5.3360839e+02  2.28e+02  1.03e+09   2.0   3.0  1.70e-02  1.12e-02  1h 
