方案键,方案,自由度,单位,RMS,峰值
pureForce,纯力控制,X,mm,0.0039288829633691,0.0222146008555663
pureForce,纯力控制,Y,mm,0.0044156956462712,0.0237030427781004
pureForce,纯力控制,Z,mm,0.00388030287617974,0.027426630011318
pureForce,纯力控制,横滚,deg,0.000673828152830901,0.00397503177520319
pureForce,纯力控制,俯仰,deg,0.000423198305358086,0.0020424605004853
pureForce,纯力控制,偏航,deg,0.000595650332668731,0.00364126532187286
oracle,高保真控制,X,mm,0.0701073417623074,0.274938476899578
oracle,高保真控制,Y,mm,0.104010365346747,0.342737245305147
oracle,高保真控制,Z,mm,0.0940479592245387,0.443080580554867
oracle,高保真控制,横滚,deg,0.0399332598497887,0.148042878368841
oracle,高保真控制,俯仰,deg,0.0574457875079599,0.197274229990626
oracle,高保真控制,偏航,deg,0.0369359139158036,0.144587435765392
identifiedTruthFeedback,真实位姿反馈辨识控制,X,mm,0.11882918891197,0.554895079091386
identifiedTruthFeedback,真实位姿反馈辨识控制,Y,mm,0.197870460752059,0.642047604126283
identifiedTruthFeedback,真实位姿反馈辨识控制,Z,mm,0.246766363100881,0.776930011154864
identifiedTruthFeedback,真实位姿反馈辨识控制,横滚,deg,0.113676979872306,0.309727965673885
identifiedTruthFeedback,真实位姿反馈辨识控制,俯仰,deg,0.294459260048601,0.67090213497938
identifiedTruthFeedback,真实位姿反馈辨识控制,偏航,deg,0.184082020119758,0.430101454034318
identified,UKF反馈辨识控制,X,mm,0.763791345642819,3.07320621188575
identified,UKF反馈辨识控制,Y,mm,1.41129664295751,7.45715421075842
identified,UKF反馈辨识控制,Z,mm,0.363679979834476,1.59846955156628
identified,UKF反馈辨识控制,横滚,deg,0.150281841595059,0.554455511231854
identified,UKF反馈辨识控制,俯仰,deg,0.295311988872598,0.961909216165093
identified,UKF反馈辨识控制,偏航,deg,0.176462495130546,0.515728779865275
