candidate,seed,encoderScale,ukfAccelerationNoiseStd,trackRmsMm,trackPeakMm,rotationPeakDeg,forceNrmse,maxPwm,passed
1,7,0.2,0.00980665,2.05265361617629,9.49654302159612,1.80395869201531,0.0192781887236446,3749.92821667136,0
1,19,0.2,0.00980665,2.34410170575883,16.5937095746063,0.796347187479332,0.0167017942397317,3828.86145761786,0
1,41,0.2,0.00980665,1.1826636814153,4.73432837741353,0.655039104573704,0.0167695833254822,4198,1
1,73,0.2,0.00980665,2.31908500851004,14.5673006924083,1.45639281233647,0.0199409350453982,3523.58942485125,0
1,101,0.2,0.00980665,1.07449721123519,4.45238302222182,0.967228237712344,0.0193466812980762,3894.44199514764,1
2,7,0.1,0.02,0.841372587758864,4.77418496279929,1.14962419141104,0.019903228750993,4015.36690696693,0
2,19,0.1,0.02,1.39897217762544,9.29936386799668,0.914511186908257,0.0186705042190881,4101.84544450646,0
2,41,0.1,0.02,1.1295225039208,6.44745257406067,0.862283642939464,0.0188669464254923,3957.51166311511,0
2,73,0.1,0.02,0.835611963847692,6.32875040894254,0.683370022300488,0.0179928770224058,3906.98770055782,0
2,101,0.1,0.02,1.4371378365653,10.5998691145638,0.887427560431586,0.019025388645393,3638.00998030434,0
3,7,0.2,0.02,1.26047868439638,9.17791966349964,0.970701193102799,0.0181260052447829,4007.93230044746,0
3,19,0.2,0.02,1.23279816119833,6.73904757103079,0.761587967418283,0.0171066298527593,4009.8765386502,0
3,41,0.2,0.02,1.07436327416841,5.56320419539644,1.11802189238708,0.0198497892033296,3991.53374558801,0
3,73,0.2,0.02,0.736185118420997,4.97262477049992,0.917617494924494,0.0162385798512466,4198,1
3,101,0.2,0.02,1.05728949562149,5.02872061975689,0.933242819005808,0.0173344738058545,3726.50214865969,0
