encoderScale,ukfAccelerationNoiseStd,score,trackRmsMm,trackPeakMm,feedbackRmsMm,feedbackPeakMm,forceNrmse
0.2,0.01,3.89401562494076,1.56391131846053,7.97577724165129,0.670977381061583,4.34137081259844,0.0281773073855105
0.2,0.02,4.27190521729822,1.91466331419336,7.41417535969776,0.537999136670128,1.94569574768605,0.0235336736939423
0.2,0.002,5.16907159021578,2.54838663471488,6.20199913296132,1.2213093380357,4.07904732718613,0.0304482166410773
0.2,0.005,5.85452383999073,2.64237910377232,8.17410480736834,1.0298590709533,3.85094570186419,0.0240260014070427
1,0.005,6.09410096760475,3.0115474337317,9.05099466420423,1.5382943759164,6.10694971755321,0.0224416790345503
1,0.01,6.53251959340887,3.73943505461501,7.96426096901966,1.75642270375013,5.3308339398884,0.0273384786258035
0.5,0.02,6.54114159443197,2.90677901148519,9.39582795118537,1.04787109148689,4.77064077467294,0.0318505758961893
1,0.02,6.95870578687684,3.39938795320953,11.6071702029109,1.28762067071076,5.24048200938197,0.0208729206471649
0.5,0.01,7.48387749215243,3.77694628871259,12.770334692098,1.66326294983278,6.97330641671795,0.0258284324781716
4,0.02,8.34678641383669,3.78056714742994,12.4631629959995,2.01384076776702,7.99217347127024,0.0213970382372862
4,0.002,10.0901148112518,4.71083076830785,15.6141096776998,2.90164845705982,10.0170889548445,0.0253046679257821
2,0.02,10.6564780712351,5.3414867649764,16.9964179063064,2.47257526825536,8.41921866951682,0.024944881498025
4,0.01,11.5798113988283,5.97357022528985,16.6607131972574,3.53862589010855,10.2369919373275,0.0281462961147738
0.5,0.005,11.5801972375399,5.35397883881188,18.6674655535671,3.09367500406299,10.9805022492946,0.0295001817025215
2,0.002,12.7946319892125,6.8843186603978,16.8733638632372,4.15692434458626,11.5043455471027,0.0370518092428459
1,0.002,13.4950164486683,7.4348429258487,17.7803343346814,4.77092901925347,12.9289724324009,0.0323459815904985
0.5,0.002,13.507946021074,7.39870944607572,17.5127366225029,4.46029807809587,13.6303640014251,0.0393339000266334
2,0.005,16.0505147169014,8.3526045684261,24.1468122333236,6.17854418919498,17.4826800865646,0.0301196233759102
4,0.005,16.2207892295241,8.83624743903123,24.0221990183075,5.92680140607617,16.8857972658765,0.0346074847505545
2,0.01,17.6203180121035,9.67835130962734,28.6668426122722,6.25297229293219,17.7414365113734,0.0339341399320411
