positionScale,rateScale,integralScale,score,trackRmsMm,trackPeakMm,rotationPeakDeg,feedbackRmsMm,forceNrmse,maxPwm
1,0.3,0,2.00708683250676,0.64812635540583,3.11799487692836,0.325901514878563,0.426816822706346,0.0130305628291572,2041.61644957448
0.5,0.15,0,2.19430804906969,0.7383387544658,3.4128641373813,0.39780167547129,0.412743765061761,0.0116604607826928,1969.75443280814
1,0.15,0.25,2.36682929917668,0.869428418836395,3.20133885947219,0.358947249515372,0.605007618154087,0.0178762798870471,2118.9567613906
0.75,0.5,0.5,2.59476498681993,0.979953568231105,3.33763736329253,0.519194419745232,0.51273865619099,0.0176961499864228,2546.23383301986
0.75,0.5,0.25,2.69351868016931,0.8706006268461,3.07742102973964,1.05214205322495,0.387593199131719,0.0186810358894419,2474.67831828376
0.5,0.5,0,2.81860712059043,0.941423671399248,3.69801916485657,0.752892979304633,0.475168434138053,0.0195665605040949,2413.85788534477
0.3,0.75,0.5,2.84512439694381,1.23374620116187,3.37027046235616,0.419475232912636,0.384134277778672,0.0195279720309386,2882.0764164592
1,0.3,0.25,3.30935809008777,1.13335314134517,5.43971036548922,0.489478285909446,0.654573414255687,0.0149676348070552,2043.54990193017
1,1,0,3.38353554597757,1.29473182638208,4.30363134827024,0.468997648199013,0.45568022758358,0.0281607745507457,3617.15356759691
0.3,0.15,0,3.45185298762767,1.21858666141637,5.51210174021055,0.41931572929825,0.64024060074054,0.0184988969749506,2199.02192681492
1,0.15,0.5,3.50895605666076,1.05822091883067,5.11427764980967,1.12826629523489,0.683616318577967,0.0176159347634871,2092.41526959236
1,0.5,0.5,3.91971745564213,1.53407330978369,6.30385887390824,0.351745117079234,0.732349825861621,0.0159306962573173,2220.72035837818
0.5,0.3,0,3.95869038230032,1.47638916967177,6.37431012362443,0.475004735087978,0.797191434099455,0.0166252903998616,2338.83083237206
0.75,0.3,0.25,4.00483067849003,1.56227863965609,6.30517486371161,0.405751183939748,0.849101677731783,0.0174061993875287,2288.00966501665
0.5,0.15,0.25,4.02409134571687,1.3338621616162,6.78097960107888,0.749916677550885,0.833291259329951,0.0140488482500781,1868.39981379959
0.75,0.15,0.25,4.08467125843967,1.47037327853741,6.75295015481859,0.567420979408497,0.974493587609845,0.0152351221876216,1941.60028862291
1,0.3,0.5,4.17167794031579,1.61562742791819,7.01356453932327,0.36923957429868,0.97207492383542,0.0133680681725636,2139.94081082394
